date,courage,isPartial
2015-01-04,37,False
2015-01-11,40,False
2015-01-18,38,False
2015-01-25,38,False
2015-02-01,37,False
2015-02-08,39,False
2015-02-15,37,False
2015-02-22,40,False
2015-03-01,42,False
2015-03-08,43,False
2015-03-15,45,False
2015-03-22,46,False
2015-03-29,43,False
2015-04-05,41,False
2015-04-12,45,False
2015-04-19,44,False
2015-04-26,45,False
2015-05-03,41,False
2015-05-10,44,False
2015-05-17,42,False
2015-05-24,39,False
2015-05-31,100,False
2015-06-07,43,False
2015-06-14,37,False
2015-06-21,33,False
2015-06-28,37,False
2015-07-05,37,False
2015-07-12,82,False
2015-07-19,51,False
2015-07-26,40,False
2015-08-02,39,False
2015-08-09,39,False
2015-08-16,40,False
2015-08-23,43,False
2015-08-30,43,False
2015-09-06,41,False
2015-09-13,45,False
2015-09-20,46,False
2015-09-27,46,False
2015-10-04,43,False
2015-10-11,44,False
2015-10-18,46,False
2015-10-25,45,False
2015-11-01,44,False
2015-11-08,42,False
2015-11-15,43,False
2015-11-22,33,False
2015-11-29,40,False
2015-12-06,46,False
2015-12-13,41,False
2015-12-20,31,False
2015-12-27,36,False
