date,low sex drive,isPartial
2011-01-02,71,False
2011-01-09,66,False
2011-01-16,83,False
2011-01-23,54,False
2011-01-30,57,False
2011-02-06,89,False
2011-02-13,52,False
2011-02-20,69,False
2011-02-27,50,False
2011-03-06,55,False
2011-03-13,56,False
2011-03-20,100,False
2011-03-27,92,False
2011-04-03,73,False
2011-04-10,72,False
2011-04-17,71,False
2011-04-24,48,False
2011-05-01,67,False
2011-05-08,53,False
2011-05-15,53,False
2011-05-22,77,False
2011-05-29,41,False
2011-06-05,57,False
2011-06-12,98,False
2011-06-19,79,False
2011-06-26,66,False
2011-07-03,47,False
2011-07-10,75,False
2011-07-17,55,False
2011-07-24,54,False
2011-07-31,79,False
2011-08-07,84,False
2011-08-14,57,False
2011-08-21,61,False
2011-08-28,80,False
2011-09-04,66,False
2011-09-11,62,False
2011-09-18,71,False
2011-09-25,61,False
2011-10-02,46,False
2011-10-09,97,False
2011-10-16,42,False
2011-10-23,69,False
2011-10-30,86,False
2011-11-06,85,False
2011-11-13,53,False
2011-11-20,83,False
2011-11-27,63,False
2011-12-04,60,False
2011-12-11,82,False
2011-12-18,60,False
2011-12-25,49,False
