date,low sex drive,isPartial
2012-01-01,67,False
2012-01-08,85,False
2012-01-15,90,False
2012-01-22,66,False
2012-01-29,54,False
2012-02-05,100,False
2012-02-12,94,False
2012-02-19,81,False
2012-02-26,75,False
2012-03-04,73,False
2012-03-11,67,False
2012-03-18,60,False
2012-03-25,69,False
2012-04-01,59,False
2012-04-08,57,False
2012-04-15,57,False
2012-04-22,75,False
2012-04-29,56,False
2012-05-06,57,False
2012-05-13,88,False
2012-05-20,72,False
2012-05-27,95,False
2012-06-03,85,False
2012-06-10,90,False
2012-06-17,64,False
2012-06-24,70,False
2012-07-01,98,False
2012-07-08,69,False
2012-07-15,69,False
2012-07-22,71,False
2012-07-29,93,False
2012-08-05,79,False
2012-08-12,70,False
2012-08-19,63,False
2012-08-26,77,False
2012-09-02,91,False
2012-09-09,84,False
2012-09-16,70,False
2012-09-23,73,False
2012-09-30,51,False
2012-10-07,63,False
2012-10-14,47,False
2012-10-21,64,False
2012-10-28,61,False
2012-11-04,61,False
2012-11-11,70,False
2012-11-18,47,False
2012-11-25,71,False
2012-12-02,56,False
2012-12-09,76,False
2012-12-16,60,False
2012-12-23,85,False
2012-12-30,64,False
