date,low sex drive,isPartial
2016-01-03,88,False
2016-01-10,90,False
2016-01-17,95,False
2016-01-24,66,False
2016-01-31,83,False
2016-02-07,81,False
2016-02-14,76,False
2016-02-21,93,False
2016-02-28,76,False
2016-03-06,76,False
2016-03-13,70,False
2016-03-20,69,False
2016-03-27,82,False
2016-04-03,99,False
2016-04-10,61,False
2016-04-17,64,False
2016-04-24,96,False
2016-05-01,100,False
2016-05-08,86,False
2016-05-15,81,False
2016-05-22,89,False
2016-05-29,84,False
2016-06-05,72,False
2016-06-12,61,False
2016-06-19,91,False
2016-06-26,82,False
2016-07-03,90,False
2016-07-10,72,False
2016-07-17,70,False
2016-07-24,75,False
2016-07-31,78,False
2016-08-07,72,False
2016-08-14,95,False
2016-08-21,77,False
2016-08-28,77,False
2016-09-04,99,False
2016-09-11,94,False
2016-09-18,72,False
2016-09-25,76,False
2016-10-02,91,False
2016-10-09,95,False
2016-10-16,86,False
2016-10-23,73,False
2016-10-30,90,False
2016-11-06,85,False
2016-11-13,66,False
2016-11-20,97,False
2016-11-27,67,False
2016-12-04,94,False
2016-12-11,91,False
2016-12-18,97,False
2016-12-25,84,False
