date,low sex drive,isPartial
2013-01-06,97,False
2013-01-13,71,False
2013-01-20,85,False
2013-01-27,87,False
2013-02-03,99,False
2013-02-10,81,False
2013-02-17,85,False
2013-02-24,63,False
2013-03-03,99,False
2013-03-10,76,False
2013-03-17,87,False
2013-03-24,71,False
2013-03-31,84,False
2013-04-07,77,False
2013-04-14,62,False
2013-04-21,99,False
2013-04-28,73,False
2013-05-05,67,False
2013-05-12,78,False
2013-05-19,64,False
2013-05-26,47,False
2013-06-02,88,False
2013-06-09,81,False
2013-06-16,67,False
2013-06-23,68,False
2013-06-30,96,False
2013-07-07,86,False
2013-07-14,80,False
2013-07-21,100,False
2013-07-28,100,False
2013-08-04,82,False
2013-08-11,72,False
2013-08-18,93,False
2013-08-25,91,False
2013-09-01,93,False
2013-09-08,55,False
2013-09-15,63,False
2013-09-22,81,False
2013-09-29,75,False
2013-10-06,83,False
2013-10-13,81,False
2013-10-20,90,False
2013-10-27,65,False
2013-11-03,69,False
2013-11-10,95,False
2013-11-17,69,False
2013-11-24,66,False
2013-12-01,86,False
2013-12-08,68,False
2013-12-15,78,False
2013-12-22,59,False
2013-12-29,72,False
