date,low sex drive,isPartial
2015-01-04,58,False
2015-01-11,69,False
2015-01-18,100,False
2015-01-25,53,False
2015-02-01,46,False
2015-02-08,75,False
2015-02-15,75,False
2015-02-22,70,False
2015-03-01,75,False
2015-03-08,54,False
2015-03-15,72,False
2015-03-22,72,False
2015-03-29,53,False
2015-04-05,46,False
2015-04-12,77,False
2015-04-19,73,False
2015-04-26,72,False
2015-05-03,54,False
2015-05-10,31,False
2015-05-17,63,False
2015-05-24,79,False
2015-05-31,37,False
2015-06-07,49,False
2015-06-14,75,False
2015-06-21,57,False
2015-06-28,46,False
2015-07-05,57,False
2015-07-12,59,False
2015-07-19,57,False
2015-07-26,67,False
2015-08-02,37,False
2015-08-09,60,False
2015-08-16,66,False
2015-08-23,60,False
2015-08-30,53,False
2015-09-06,43,False
2015-09-13,52,False
2015-09-20,60,False
2015-09-27,50,False
2015-10-04,63,False
2015-10-11,55,False
2015-10-18,71,False
2015-10-25,57,False
2015-11-01,70,False
2015-11-08,58,False
2015-11-15,63,False
2015-11-22,40,False
2015-11-29,50,False
2015-12-06,51,False
2015-12-13,63,False
2015-12-20,41,False
2015-12-27,65,False
