geoName,grieving
Alabama,49
Alaska,50
Arizona,46
Arkansas,48
California,43
Colorado,43
Connecticut,46
Delaware,50
District of Columbia,44
Florida,44
Georgia,43
Hawaii,59
Idaho,41
Illinois,40
Indiana,46
Iowa,55
Kansas,42
Kentucky,51
Louisiana,49
Maine,100
Maryland,44
Massachusetts,45
Michigan,51
Minnesota,57
Mississippi,54
Missouri,51
Montana,67
Nebraska,50
Nevada,44
New Hampshire,42
New Jersey,38
New Mexico,55
New York,40
North Carolina,42
North Dakota,39
Ohio,53
Oklahoma,48
Oregon,37
Pennsylvania,49
Rhode Island,64
South Carolina,48
South Dakota,43
Tennessee,47
Texas,42
Utah,49
Vermont,43
Virginia,26
Washington,38
West Virginia,72
Wisconsin,55
Wyoming,34
