geoName,grieving
Alabama,48
Alaska,65
Arizona,49
Arkansas,48
California,43
Colorado,46
Connecticut,51
Delaware,33
District of Columbia,46
Florida,41
Georgia,50
Hawaii,30
Idaho,47
Illinois,48
Indiana,50
Iowa,49
Kansas,51
Kentucky,43
Louisiana,60
Maine,100
Maryland,40
Massachusetts,41
Michigan,51
Minnesota,46
Mississippi,51
Missouri,47
Montana,59
Nebraska,42
Nevada,36
New Hampshire,34
New Jersey,39
New Mexico,65
New York,42
North Carolina,45
North Dakota,47
Ohio,52
Oklahoma,43
Oregon,48
Pennsylvania,55
Rhode Island,37
South Carolina,42
South Dakota,40
Tennessee,50
Texas,45
Utah,50
Vermont,41
Virginia,49
Washington,42
West Virginia,52
Wisconsin,49
Wyoming,37
