date,grieving,isPartial
2011-01-02,70,False
2011-01-09,88,False
2011-01-16,89,False
2011-01-23,81,False
2011-01-30,56,False
2011-02-06,81,False
2011-02-13,91,False
2011-02-20,100,False
2011-02-27,72,False
2011-03-06,63,False
2011-03-13,75,False
2011-03-20,80,False
2011-03-27,80,False
2011-04-03,68,False
2011-04-10,83,False
2011-04-17,85,False
2011-04-24,76,False
2011-05-01,69,False
2011-05-08,66,False
2011-05-15,68,False
2011-05-22,61,False
2011-05-29,61,False
2011-06-05,71,False
2011-06-12,69,False
2011-06-19,65,False
2011-06-26,67,False
2011-07-03,69,False
2011-07-10,67,False
2011-07-17,61,False
2011-07-24,70,False
2011-07-31,61,False
2011-08-07,53,False
2011-08-14,56,False
2011-08-21,61,False
2011-08-28,57,False
2011-09-04,67,False
2011-09-11,84,False
2011-09-18,83,False
2011-09-25,72,False
2011-10-02,73,False
2011-10-09,84,False
2011-10-16,75,False
2011-10-23,80,False
2011-10-30,72,False
2011-11-06,70,False
2011-11-13,81,False
2011-11-20,72,False
2011-11-27,82,False
2011-12-04,78,False
2011-12-11,78,False
2011-12-18,86,False
2011-12-25,56,False
