date,grieving,isPartial
2013-01-06,78,False
2013-01-13,89,False
2013-01-20,77,False
2013-01-27,82,False
2013-02-03,87,False
2013-02-10,73,False
2013-02-17,65,False
2013-02-24,71,False
2013-03-03,77,False
2013-03-10,72,False
2013-03-17,82,False
2013-03-24,84,False
2013-03-31,77,False
2013-04-07,90,False
2013-04-14,91,False
2013-04-21,75,False
2013-04-28,81,False
2013-05-05,78,False
2013-05-12,67,False
2013-05-19,73,False
2013-05-26,67,False
2013-06-02,87,False
2013-06-09,68,False
2013-06-16,62,False
2013-06-23,65,False
2013-06-30,54,False
2013-07-07,61,False
2013-07-14,73,False
2013-07-21,68,False
2013-07-28,68,False
2013-08-04,66,False
2013-08-11,72,False
2013-08-18,69,False
2013-08-25,76,False
2013-09-01,76,False
2013-09-08,77,False
2013-09-15,99,False
2013-09-22,93,False
2013-09-29,74,False
2013-10-06,79,False
2013-10-13,85,False
2013-10-20,88,False
2013-10-27,92,False
2013-11-03,85,False
2013-11-10,87,False
2013-11-17,92,False
2013-11-24,72,False
2013-12-01,82,False
2013-12-08,100,False
2013-12-15,73,False
2013-12-22,69,False
2013-12-29,78,False
