geoName,grieving
Alabama,47
Alaska,52
Arizona,43
Arkansas,63
California,33
Colorado,39
Connecticut,43
Delaware,40
District of Columbia,26
Florida,39
Georgia,33
Hawaii,38
Idaho,43
Illinois,35
Indiana,48
Iowa,43
Kansas,40
Kentucky,41
Louisiana,39
Maine,100
Maryland,37
Massachusetts,32
Michigan,40
Minnesota,47
Mississippi,43
Missouri,42
Montana,34
Nebraska,47
Nevada,41
New Hampshire,34
New Jersey,33
New Mexico,36
New York,35
North Carolina,36
North Dakota,25
Ohio,42
Oklahoma,52
Oregon,20
Pennsylvania,41
Rhode Island,28
South Carolina,34
South Dakota,39
Tennessee,42
Texas,35
Utah,39
Vermont,27
Virginia,37
Washington,38
West Virginia,37
Wisconsin,44
Wyoming,53
