geoName,failed
Alabama,78
Alaska,81
Arizona,75
Arkansas,86
California,84
Colorado,79
Connecticut,88
Delaware,92
District of Columbia,75
Florida,72
Georgia,69
Hawaii,62
Idaho,97
Illinois,76
Indiana,83
Iowa,80
Kansas,68
Kentucky,69
Louisiana,59
Maine,85
Maryland,97
Massachusetts,90
Michigan,78
Minnesota,85
Mississippi,63
Missouri,82
Montana,81
Nebraska,89
Nevada,70
New Hampshire,91
New Jersey,94
New Mexico,94
New York,82
North Carolina,83
North Dakota,81
Ohio,85
Oklahoma,68
Oregon,62
Pennsylvania,83
Rhode Island,79
South Carolina,72
South Dakota,86
Tennessee,74
Texas,76
Utah,100
Vermont,88
Virginia,70
Washington,91
West Virginia,76
Wisconsin,81
Wyoming,70
