date,failed,isPartial
2013-01-06,75,False
2013-01-13,82,False
2013-01-20,87,False
2013-01-27,80,False
2013-02-03,78,False
2013-02-10,80,False
2013-02-17,82,False
2013-02-24,77,False
2013-03-03,85,False
2013-03-10,80,False
2013-03-17,81,False
2013-03-24,82,False
2013-03-31,80,False
2013-04-07,84,False
2013-04-14,87,False
2013-04-21,81,False
2013-04-28,80,False
2013-05-05,79,False
2013-05-12,82,False
2013-05-19,81,False
2013-05-26,79,False
2013-06-02,81,False
2013-06-09,77,False
2013-06-16,81,False
2013-06-23,81,False
2013-06-30,69,False
2013-07-07,79,False
2013-07-14,79,False
2013-07-21,79,False
2013-07-28,80,False
2013-08-04,76,False
2013-08-11,82,False
2013-08-18,88,False
2013-08-25,78,False
2013-09-01,76,False
2013-09-08,81,False
2013-09-15,100,False
2013-09-22,84,False
2013-09-29,92,False
2013-10-06,87,False
2013-10-13,88,False
2013-10-20,87,False
2013-10-27,86,False
2013-11-03,84,False
2013-11-10,88,False
2013-11-17,89,False
2013-11-24,80,False
2013-12-01,84,False
2013-12-08,84,False
2013-12-15,85,False
2013-12-22,76,False
2013-12-29,75,False
