geoName,failed
Alabama,81
Alaska,84
Arizona,82
Arkansas,83
California,80
Colorado,88
Connecticut,85
Delaware,88
District of Columbia,70
Florida,72
Georgia,74
Hawaii,76
Idaho,92
Illinois,78
Indiana,87
Iowa,80
Kansas,81
Kentucky,74
Louisiana,75
Maine,65
Maryland,93
Massachusetts,87
Michigan,80
Minnesota,88
Mississippi,66
Missouri,88
Montana,84
Nebraska,84
Nevada,79
New Hampshire,82
New Jersey,90
New Mexico,85
New York,72
North Carolina,80
North Dakota,77
Ohio,85
Oklahoma,88
Oregon,90
Pennsylvania,80
Rhode Island,73
South Carolina,73
South Dakota,80
Tennessee,79
Texas,72
Utah,100
Vermont,80
Virginia,100
Washington,95
West Virginia,73
Wisconsin,90
Wyoming,73
