geoName,failed
Alabama,71
Alaska,85
Arizona,85
Arkansas,80
California,92
Colorado,92
Connecticut,82
Delaware,85
District of Columbia,70
Florida,70
Georgia,73
Hawaii,83
Idaho,80
Illinois,79
Indiana,79
Iowa,76
Kansas,84
Kentucky,79
Louisiana,66
Maine,81
Maryland,98
Massachusetts,93
Michigan,76
Minnesota,93
Mississippi,65
Missouri,79
Montana,71
Nebraska,77
Nevada,66
New Hampshire,97
New Jersey,87
New Mexico,75
New York,82
North Carolina,76
North Dakota,84
Ohio,79
Oklahoma,74
Oregon,88
Pennsylvania,83
Rhode Island,88
South Carolina,71
South Dakota,80
Tennessee,69
Texas,75
Utah,91
Vermont,85
Virginia,100
Washington,99
West Virginia,63
Wisconsin,85
Wyoming,62
