geoName,failed
Alabama,74
Alaska,65
Arizona,74
Arkansas,93
California,78
Colorado,76
Connecticut,76
Delaware,86
District of Columbia,57
Florida,70
Georgia,64
Hawaii,80
Idaho,96
Illinois,64
Indiana,87
Iowa,86
Kansas,88
Kentucky,80
Louisiana,58
Maine,70
Maryland,90
Massachusetts,79
Michigan,71
Minnesota,82
Mississippi,59
Missouri,74
Montana,82
Nebraska,84
Nevada,74
New Hampshire,90
New Jersey,85
New Mexico,87
New York,73
North Carolina,76
North Dakota,74
Ohio,80
Oklahoma,81
Oregon,94
Pennsylvania,82
Rhode Island,80
South Carolina,72
South Dakota,77
Tennessee,77
Texas,66
Utah,95
Vermont,74
Virginia,100
Washington,83
West Virginia,79
Wisconsin,85
Wyoming,75
