geoName,failed
Alabama,72
Alaska,75
Arizona,77
Arkansas,81
California,80
Colorado,84
Connecticut,85
Delaware,75
District of Columbia,77
Florida,66
Georgia,65
Hawaii,74
Idaho,84
Illinois,68
Indiana,79
Iowa,83
Kansas,74
Kentucky,76
Louisiana,61
Maine,67
Maryland,91
Massachusetts,80
Michigan,70
Minnesota,82
Mississippi,51
Missouri,69
Montana,81
Nebraska,82
Nevada,65
New Hampshire,100
New Jersey,87
New Mexico,81
New York,75
North Carolina,72
North Dakota,74
Ohio,82
Oklahoma,70
Oregon,66
Pennsylvania,81
Rhode Island,78
South Carolina,76
South Dakota,79
Tennessee,73
Texas,72
Utah,93
Vermont,66
Virginia,92
Washington,85
West Virginia,79
Wisconsin,80
Wyoming,69
