date,failed,isPartial
2012-01-01,92,False
2012-01-08,89,False
2012-01-15,90,False
2012-01-22,90,False
2012-01-29,89,False
2012-02-05,91,False
2012-02-12,87,False
2012-02-19,85,False
2012-02-26,90,False
2012-03-04,91,False
2012-03-11,91,False
2012-03-18,88,False
2012-03-25,89,False
2012-04-01,90,False
2012-04-08,92,False
2012-04-15,90,False
2012-04-22,90,False
2012-04-29,87,False
2012-05-06,90,False
2012-05-13,96,False
2012-05-20,93,False
2012-05-27,88,False
2012-06-03,87,False
2012-06-10,89,False
2012-06-17,92,False
2012-06-24,93,False
2012-07-01,89,False
2012-07-08,96,False
2012-07-15,100,False
2012-07-22,98,False
2012-07-29,96,False
2012-08-05,98,False
2012-08-12,97,False
2012-08-19,98,False
2012-08-26,94,False
2012-09-02,90,False
2012-09-09,95,False
2012-09-16,93,False
2012-09-23,97,False
2012-09-30,89,False
2012-10-07,92,False
2012-10-14,91,False
2012-10-21,93,False
2012-10-28,90,False
2012-11-04,87,False
2012-11-11,93,False
2012-11-18,79,False
2012-11-25,87,False
2012-12-02,89,False
2012-12-09,91,False
2012-12-16,88,False
2012-12-23,80,False
2012-12-30,78,False
