date,failed,isPartial
2016-01-03,84,False
2016-01-10,82,False
2016-01-17,84,False
2016-01-24,86,False
2016-01-31,88,False
2016-02-07,82,False
2016-02-14,81,False
2016-02-21,85,False
2016-02-28,84,False
2016-03-06,90,False
2016-03-13,86,False
2016-03-20,90,False
2016-03-27,86,False
2016-04-03,82,False
2016-04-10,87,False
2016-04-17,85,False
2016-04-24,85,False
2016-05-01,85,False
2016-05-08,86,False
2016-05-15,85,False
2016-05-22,83,False
2016-05-29,81,False
2016-06-05,82,False
2016-06-12,85,False
2016-06-19,85,False
2016-06-26,79,False
2016-07-03,80,False
2016-07-10,100,False
2016-07-17,97,False
2016-07-24,89,False
2016-07-31,87,False
2016-08-07,86,False
2016-08-14,86,False
2016-08-21,79,False
2016-08-28,85,False
2016-09-04,77,False
2016-09-11,81,False
2016-09-18,78,False
2016-09-25,84,False
2016-10-02,79,False
2016-10-09,81,False
2016-10-16,82,False
2016-10-23,83,False
2016-10-30,82,False
2016-11-06,80,False
2016-11-13,84,False
2016-11-20,69,False
2016-11-27,82,False
2016-12-04,82,False
2016-12-11,86,False
2016-12-18,76,False
2016-12-25,71,False
