date,failed,isPartial
2014-01-05,91,False
2014-01-12,94,False
2014-01-19,90,False
2014-01-26,100,False
2014-02-02,93,False
2014-02-09,87,False
2014-02-16,91,False
2014-02-23,93,False
2014-03-02,88,False
2014-03-09,90,False
2014-03-16,88,False
2014-03-23,91,False
2014-03-30,86,False
2014-04-06,87,False
2014-04-13,95,False
2014-04-20,96,False
2014-04-27,99,False
2014-05-04,97,False
2014-05-11,93,False
2014-05-18,93,False
2014-05-25,89,False
2014-06-01,90,False
2014-06-08,91,False
2014-06-15,92,False
2014-06-22,92,False
2014-06-29,84,False
2014-07-06,95,False
2014-07-13,94,False
2014-07-20,91,False
2014-07-27,97,False
2014-08-03,90,False
2014-08-10,89,False
2014-08-17,97,False
2014-08-24,97,False
2014-08-31,84,False
2014-09-07,92,False
2014-09-14,95,False
2014-09-21,91,False
2014-09-28,91,False
2014-10-05,91,False
2014-10-12,91,False
2014-10-19,92,False
2014-10-26,91,False
2014-11-02,94,False
2014-11-09,95,False
2014-11-16,91,False
2014-11-23,77,False
2014-11-30,91,False
2014-12-07,94,False
2014-12-14,89,False
2014-12-21,81,False
2014-12-28,79,False
