geoName,level
Alabama,92
Alaska,83
Arizona,76
Arkansas,94
California,69
Colorado,77
Connecticut,79
Delaware,92
District of Columbia,59
Florida,76
Georgia,80
Hawaii,71
Idaho,94
Illinois,79
Indiana,93
Iowa,87
Kansas,82
Kentucky,91
Louisiana,87
Maine,87
Maryland,80
Massachusetts,74
Michigan,86
Minnesota,82
Mississippi,89
Missouri,86
Montana,82
Nebraska,87
Nevada,72
New Hampshire,87
New Jersey,82
New Mexico,82
New York,69
North Carolina,90
North Dakota,95
Ohio,97
Oklahoma,85
Oregon,47
Pennsylvania,85
Rhode Island,85
South Carolina,86
South Dakota,94
Tennessee,85
Texas,78
Utah,85
Vermont,78
Virginia,61
Washington,76
West Virginia,100
Wisconsin,87
Wyoming,92
