date,level,isPartial
2013-01-06,57,False
2013-01-13,61,False
2013-01-20,61,False
2013-01-27,71,False
2013-02-03,72,False
2013-02-10,75,False
2013-02-17,86,False
2013-02-24,81,False
2013-03-03,75,False
2013-03-10,79,False
2013-03-17,75,False
2013-03-24,73,False
2013-03-31,71,False
2013-04-07,71,False
2013-04-14,68,False
2013-04-21,75,False
2013-04-28,73,False
2013-05-05,71,False
2013-05-12,78,False
2013-05-19,80,False
2013-05-26,88,False
2013-06-02,88,False
2013-06-09,91,False
2013-06-16,93,False
2013-06-23,100,False
2013-06-30,97,False
2013-07-07,91,False
2013-07-14,90,False
2013-07-21,89,False
2013-07-28,87,False
2013-08-04,88,False
2013-08-11,87,False
2013-08-18,81,False
2013-08-25,79,False
2013-09-01,80,False
2013-09-08,78,False
2013-09-15,80,False
2013-09-22,79,False
2013-09-29,74,False
2013-10-06,76,False
2013-10-13,82,False
2013-10-20,77,False
2013-10-27,77,False
2013-11-03,80,False
2013-11-10,79,False
2013-11-17,74,False
2013-11-24,72,False
2013-12-01,72,False
2013-12-08,71,False
2013-12-15,67,False
2013-12-22,76,False
2013-12-29,81,False
