geoName,level
Alabama,83
Alaska,81
Arizona,76
Arkansas,91
California,66
Colorado,76
Connecticut,74
Delaware,79
District of Columbia,59
Florida,72
Georgia,73
Hawaii,73
Idaho,83
Illinois,69
Indiana,88
Iowa,81
Kansas,85
Kentucky,90
Louisiana,88
Maine,82
Maryland,79
Massachusetts,72
Michigan,81
Minnesota,73
Mississippi,77
Missouri,82
Montana,81
Nebraska,80
Nevada,74
New Hampshire,80
New Jersey,80
New Mexico,73
New York,63
North Carolina,77
North Dakota,100
Ohio,85
Oklahoma,84
Oregon,81
Pennsylvania,83
Rhode Island,82
South Carolina,80
South Dakota,84
Tennessee,82
Texas,73
Utah,89
Vermont,91
Virginia,82
Washington,79
West Virginia,88
Wisconsin,76
Wyoming,79
