geoName,level
Alabama,93
Alaska,96
Arizona,78
Arkansas,100
California,76
Colorado,84
Connecticut,87
Delaware,89
District of Columbia,73
Florida,81
Georgia,87
Hawaii,79
Idaho,93
Illinois,80
Indiana,98
Iowa,94
Kansas,97
Kentucky,100
Louisiana,95
Maine,88
Maryland,89
Massachusetts,82
Michigan,91
Minnesota,89
Mississippi,93
Missouri,91
Montana,79
Nebraska,85
Nevada,82
New Hampshire,95
New Jersey,92
New Mexico,85
New York,77
North Carolina,86
North Dakota,92
Ohio,97
Oklahoma,100
Oregon,87
Pennsylvania,93
Rhode Island,90
South Carolina,88
South Dakota,93
Tennessee,93
Texas,86
Utah,99
Vermont,82
Virginia,92
Washington,87
West Virginia,95
Wisconsin,88
Wyoming,93
