date,level,isPartial
2014-01-05,82,False
2014-01-12,80,False
2014-01-19,79,False
2014-01-26,84,False
2014-02-02,84,False
2014-02-09,78,False
2014-02-16,80,False
2014-02-23,78,False
2014-03-02,76,False
2014-03-09,76,False
2014-03-16,76,False
2014-03-23,77,False
2014-03-30,78,False
2014-04-06,79,False
2014-04-13,77,False
2014-04-20,80,False
2014-04-27,78,False
2014-05-04,74,False
2014-05-11,77,False
2014-05-18,75,False
2014-05-25,75,False
2014-06-01,75,False
2014-06-08,76,False
2014-06-15,79,False
2014-06-22,92,False
2014-06-29,100,False
2014-07-06,95,False
2014-07-13,94,False
2014-07-20,92,False
2014-07-27,83,False
2014-08-03,80,False
2014-08-10,72,False
2014-08-17,73,False
2014-08-24,70,False
2014-08-31,71,False
2014-09-07,75,False
2014-09-14,75,False
2014-09-21,74,False
2014-09-28,71,False
2014-10-05,71,False
2014-10-12,69,False
2014-10-19,69,False
2014-10-26,68,False
2014-11-02,68,False
2014-11-09,70,False
2014-11-16,72,False
2014-11-23,68,False
2014-11-30,69,False
2014-12-07,69,False
2014-12-14,67,False
2014-12-21,64,False
2014-12-28,72,False
