geoName,level
Alabama,90
Alaska,89
Arizona,78
Arkansas,96
California,70
Colorado,82
Connecticut,80
Delaware,82
District of Columbia,63
Florida,74
Georgia,82
Hawaii,78
Idaho,87
Illinois,78
Indiana,91
Iowa,94
Kansas,88
Kentucky,100
Louisiana,86
Maine,86
Maryland,81
Massachusetts,77
Michigan,82
Minnesota,82
Mississippi,92
Missouri,90
Montana,82
Nebraska,82
Nevada,69
New Hampshire,83
New Jersey,78
New Mexico,74
New York,73
North Carolina,85
North Dakota,90
Ohio,88
Oklahoma,94
Oregon,81
Pennsylvania,88
Rhode Island,83
South Carolina,85
South Dakota,93
Tennessee,86
Texas,80
Utah,86
Vermont,84
Virginia,86
Washington,81
West Virginia,93
Wisconsin,86
Wyoming,92
