geoName,level
Alabama,92
Alaska,78
Arizona,76
Arkansas,97
California,66
Colorado,77
Connecticut,82
Delaware,93
District of Columbia,65
Florida,75
Georgia,85
Hawaii,85
Idaho,84
Illinois,76
Indiana,91
Iowa,90
Kansas,86
Kentucky,100
Louisiana,96
Maine,83
Maryland,84
Massachusetts,78
Michigan,89
Minnesota,80
Mississippi,89
Missouri,88
Montana,79
Nebraska,85
Nevada,74
New Hampshire,85
New Jersey,86
New Mexico,79
New York,71
North Carolina,85
North Dakota,90
Ohio,91
Oklahoma,94
Oregon,50
Pennsylvania,89
Rhode Island,84
South Carolina,90
South Dakota,92
Tennessee,87
Texas,80
Utah,84
Vermont,78
Virginia,84
Washington,74
West Virginia,100
Wisconsin,84
Wyoming,89
