date,irritability,isPartial
2014-01-05,73,False
2014-01-12,70,False
2014-01-19,85,False
2014-01-26,64,False
2014-02-02,67,False
2014-02-09,81,False
2014-02-16,84,False
2014-02-23,77,False
2014-03-02,81,False
2014-03-09,75,False
2014-03-16,81,False
2014-03-23,73,False
2014-03-30,100,False
2014-04-06,62,False
2014-04-13,70,False
2014-04-20,77,False
2014-04-27,88,False
2014-05-04,60,False
2014-05-11,86,False
2014-05-18,70,False
2014-05-25,41,False
2014-06-01,89,False
2014-06-08,73,False
2014-06-15,57,False
2014-06-22,77,False
2014-06-29,60,False
2014-07-06,50,False
2014-07-13,73,False
2014-07-20,88,False
2014-07-27,66,False
2014-08-03,67,False
2014-08-10,63,False
2014-08-17,67,False
2014-08-24,65,False
2014-08-31,59,False
2014-09-07,88,False
2014-09-14,72,False
2014-09-21,66,False
2014-09-28,70,False
2014-10-05,70,False
2014-10-12,79,False
2014-10-19,70,False
2014-10-26,68,False
2014-11-02,71,False
2014-11-09,75,False
2014-11-16,60,False
2014-11-23,54,False
2014-11-30,82,False
2014-12-07,60,False
2014-12-14,62,False
2014-12-21,54,False
2014-12-28,73,False
