date,irritability,isPartial
2015-01-04,53,False
2015-01-11,62,False
2015-01-18,70,False
2015-01-25,73,False
2015-02-01,77,False
2015-02-08,75,False
2015-02-15,71,False
2015-02-22,73,False
2015-03-01,79,False
2015-03-08,60,False
2015-03-15,93,False
2015-03-22,79,False
2015-03-29,84,False
2015-04-05,65,False
2015-04-12,65,False
2015-04-19,73,False
2015-04-26,83,False
2015-05-03,90,False
2015-05-10,87,False
2015-05-17,61,False
2015-05-24,69,False
2015-05-31,49,False
2015-06-07,68,False
2015-06-14,91,False
2015-06-21,59,False
2015-06-28,71,False
2015-07-05,65,False
2015-07-12,81,False
2015-07-19,75,False
2015-07-26,78,False
2015-08-02,68,False
2015-08-09,89,False
2015-08-16,65,False
2015-08-23,54,False
2015-08-30,73,False
2015-09-06,67,False
2015-09-13,88,False
2015-09-20,86,False
2015-09-27,68,False
2015-10-04,66,False
2015-10-11,70,False
2015-10-18,90,False
2015-10-25,59,False
2015-11-01,74,False
2015-11-08,94,False
2015-11-15,60,False
2015-11-22,77,False
2015-11-29,59,False
2015-12-06,75,False
2015-12-13,63,False
2015-12-20,100,False
2015-12-27,66,False
