geoName,irritability
Alabama,81
Alaska,0
Arizona,38
Arkansas,52
California,37
Colorado,39
Connecticut,46
Delaware,0
District of Columbia,43
Florida,48
Georgia,49
Hawaii,61
Idaho,46
Illinois,50
Indiana,81
Iowa,70
Kansas,27
Kentucky,53
Louisiana,53
Maine,44
Maryland,76
Massachusetts,47
Michigan,54
Minnesota,60
Mississippi,49
Missouri,47
Montana,77
Nebraska,49
Nevada,31
New Hampshire,100
New Jersey,37
New Mexico,60
New York,45
North Carolina,53
North Dakota,86
Ohio,50
Oklahoma,43
Oregon,40
Pennsylvania,65
Rhode Island,61
South Carolina,57
South Dakota,72
Tennessee,73
Texas,44
Utah,55
Vermont,55
Virginia,30
Washington,51
West Virginia,64
Wisconsin,51
Wyoming,0
