date,irritability,isPartial
2016-01-03,44,False
2016-01-10,68,False
2016-01-17,56,False
2016-01-24,75,False
2016-01-31,62,False
2016-02-07,64,False
2016-02-14,66,False
2016-02-21,63,False
2016-02-28,80,False
2016-03-06,48,False
2016-03-13,56,False
2016-03-20,60,False
2016-03-27,56,False
2016-04-03,66,False
2016-04-10,78,False
2016-04-17,76,False
2016-04-24,75,False
2016-05-01,68,False
2016-05-08,67,False
2016-05-15,62,False
2016-05-22,65,False
2016-05-29,62,False
2016-06-05,67,False
2016-06-12,56,False
2016-06-19,100,False
2016-06-26,72,False
2016-07-03,71,False
2016-07-10,90,False
2016-07-17,64,False
2016-07-24,51,False
2016-07-31,63,False
2016-08-07,76,False
2016-08-14,56,False
2016-08-21,61,False
2016-08-28,73,False
2016-09-04,58,False
2016-09-11,79,False
2016-09-18,61,False
2016-09-25,56,False
2016-10-02,70,False
2016-10-09,75,False
2016-10-16,69,False
2016-10-23,54,False
2016-10-30,56,False
2016-11-06,70,False
2016-11-13,50,False
2016-11-20,61,False
2016-11-27,60,False
2016-12-04,65,False
2016-12-11,72,False
2016-12-18,54,False
2016-12-25,64,False
