geoName,irritability
Alabama,30
Alaska,0
Arizona,26
Arkansas,39
California,23
Colorado,25
Connecticut,11
Delaware,0
District of Columbia,14
Florida,24
Georgia,31
Hawaii,13
Idaho,23
Illinois,25
Indiana,42
Iowa,34
Kansas,44
Kentucky,51
Louisiana,30
Maine,36
Maryland,21
Massachusetts,29
Michigan,19
Minnesota,27
Mississippi,6
Missouri,30
Montana,37
Nebraska,25
Nevada,34
New Hampshire,61
New Jersey,15
New Mexico,40
New York,21
North Carolina,36
North Dakota,30
Ohio,29
Oklahoma,28
Oregon,29
Pennsylvania,28
Rhode Island,100
South Carolina,38
South Dakota,31
Tennessee,43
Texas,29
Utah,38
Vermont,27
Virginia,29
Washington,27
West Virginia,24
Wisconsin,24
Wyoming,0
