date,irritability,isPartial
2013-01-06,63,False
2013-01-13,73,False
2013-01-20,86,False
2013-01-27,56,False
2013-02-03,71,False
2013-02-10,82,False
2013-02-17,65,False
2013-02-24,59,False
2013-03-03,73,False
2013-03-10,59,False
2013-03-17,63,False
2013-03-24,62,False
2013-03-31,59,False
2013-04-07,77,False
2013-04-14,80,False
2013-04-21,84,False
2013-04-28,58,False
2013-05-05,67,False
2013-05-12,100,False
2013-05-19,57,False
2013-05-26,44,False
2013-06-02,70,False
2013-06-09,70,False
2013-06-16,65,False
2013-06-23,69,False
2013-06-30,67,False
2013-07-07,59,False
2013-07-14,84,False
2013-07-21,64,False
2013-07-28,53,False
2013-08-04,59,False
2013-08-11,67,False
2013-08-18,72,False
2013-08-25,76,False
2013-09-01,74,False
2013-09-08,52,False
2013-09-15,62,False
2013-09-22,73,False
2013-09-29,56,False
2013-10-06,94,False
2013-10-13,95,False
2013-10-20,54,False
2013-10-27,70,False
2013-11-03,67,False
2013-11-10,52,False
2013-11-17,80,False
2013-11-24,58,False
2013-12-01,57,False
2013-12-08,68,False
2013-12-15,44,False
2013-12-22,56,False
2013-12-29,55,False
