date,irritability,isPartial
2011-01-02,65,False
2011-01-09,67,False
2011-01-16,70,False
2011-01-23,97,False
2011-01-30,48,False
2011-02-06,77,False
2011-02-13,86,False
2011-02-20,87,False
2011-02-27,86,False
2011-03-06,46,False
2011-03-13,61,False
2011-03-20,89,False
2011-03-27,49,False
2011-04-03,84,False
2011-04-10,91,False
2011-04-17,72,False
2011-04-24,64,False
2011-05-01,55,False
2011-05-08,96,False
2011-05-15,82,False
2011-05-22,87,False
2011-05-29,82,False
2011-06-05,100,False
2011-06-12,88,False
2011-06-19,88,False
2011-06-26,80,False
2011-07-03,59,False
2011-07-10,86,False
2011-07-17,91,False
2011-07-24,63,False
2011-07-31,69,False
2011-08-07,51,False
2011-08-14,54,False
2011-08-21,92,False
2011-08-28,70,False
2011-09-04,67,False
2011-09-11,93,False
2011-09-18,76,False
2011-09-25,69,False
2011-10-02,50,False
2011-10-09,81,False
2011-10-16,85,False
2011-10-23,71,False
2011-10-30,57,False
2011-11-06,69,False
2011-11-13,98,False
2011-11-20,43,False
2011-11-27,76,False
2011-12-04,69,False
2011-12-11,78,False
2011-12-18,61,False
2011-12-25,60,False
