geoName,poor
Alabama,96
Alaska,83
Arizona,81
Arkansas,93
California,79
Colorado,81
Connecticut,85
Delaware,89
District of Columbia,89
Florida,78
Georgia,78
Hawaii,75
Idaho,92
Illinois,85
Indiana,93
Iowa,91
Kansas,86
Kentucky,85
Louisiana,79
Maine,96
Maryland,100
Massachusetts,91
Michigan,85
Minnesota,88
Mississippi,78
Missouri,89
Montana,84
Nebraska,84
Nevada,65
New Hampshire,94
New Jersey,85
New Mexico,91
New York,81
North Carolina,92
North Dakota,76
Ohio,92
Oklahoma,83
Oregon,52
Pennsylvania,90
Rhode Island,86
South Carolina,81
South Dakota,79
Tennessee,87
Texas,75
Utah,82
Vermont,90
Virginia,79
Washington,82
West Virginia,95
Wisconsin,84
Wyoming,97
