geoName,poor
Alabama,87
Alaska,73
Arizona,79
Arkansas,100
California,72
Colorado,75
Connecticut,79
Delaware,87
District of Columbia,74
Florida,70
Georgia,70
Hawaii,71
Idaho,83
Illinois,72
Indiana,88
Iowa,85
Kansas,86
Kentucky,83
Louisiana,75
Maine,96
Maryland,89
Massachusetts,78
Michigan,76
Minnesota,83
Mississippi,73
Missouri,80
Montana,80
Nebraska,82
Nevada,68
New Hampshire,97
New Jersey,80
New Mexico,67
New York,73
North Carolina,79
North Dakota,73
Ohio,83
Oklahoma,79
Oregon,77
Pennsylvania,88
Rhode Island,84
South Carolina,83
South Dakota,76
Tennessee,84
Texas,67
Utah,80
Vermont,98
Virginia,88
Washington,75
West Virginia,91
Wisconsin,79
Wyoming,84
