geoName,poor
Alabama,91
Alaska,79
Arizona,80
Arkansas,88
California,74
Colorado,83
Connecticut,88
Delaware,79
District of Columbia,77
Florida,79
Georgia,78
Hawaii,78
Idaho,88
Illinois,80
Indiana,92
Iowa,82
Kansas,72
Kentucky,89
Louisiana,78
Maine,100
Maryland,96
Massachusetts,88
Michigan,79
Minnesota,81
Mississippi,96
Missouri,87
Montana,89
Nebraska,78
Nevada,72
New Hampshire,95
New Jersey,88
New Mexico,80
New York,79
North Carolina,81
North Dakota,87
Ohio,88
Oklahoma,74
Oregon,69
Pennsylvania,92
Rhode Island,87
South Carolina,87
South Dakota,88
Tennessee,81
Texas,75
Utah,78
Vermont,93
Virginia,66
Washington,76
West Virginia,90
Wisconsin,85
Wyoming,93
