geoName,poor
Alabama,78
Alaska,67
Arizona,67
Arkansas,76
California,62
Colorado,68
Connecticut,73
Delaware,70
District of Columbia,68
Florida,65
Georgia,63
Hawaii,66
Idaho,65
Illinois,66
Indiana,79
Iowa,75
Kansas,79
Kentucky,73
Louisiana,71
Maine,81
Maryland,80
Massachusetts,76
Michigan,69
Minnesota,75
Mississippi,65
Missouri,77
Montana,65
Nebraska,67
Nevada,60
New Hampshire,84
New Jersey,73
New Mexico,78
New York,66
North Carolina,69
North Dakota,67
Ohio,74
Oklahoma,67
Oregon,63
Pennsylvania,77
Rhode Island,83
South Carolina,74
South Dakota,71
Tennessee,73
Texas,57
Utah,73
Vermont,83
Virginia,76
Washington,74
West Virginia,81
Wisconsin,72
Wyoming,100
