geoName,poor
Alabama,80
Alaska,59
Arizona,70
Arkansas,76
California,64
Colorado,67
Connecticut,77
Delaware,81
District of Columbia,79
Florida,63
Georgia,63
Hawaii,63
Idaho,72
Illinois,65
Indiana,77
Iowa,70
Kansas,71
Kentucky,80
Louisiana,69
Maine,87
Maryland,90
Massachusetts,76
Michigan,73
Minnesota,72
Mississippi,72
Missouri,72
Montana,82
Nebraska,72
Nevada,67
New Hampshire,81
New Jersey,70
New Mexico,71
New York,69
North Carolina,70
North Dakota,60
Ohio,75
Oklahoma,65
Oregon,51
Pennsylvania,76
Rhode Island,74
South Carolina,75
South Dakota,62
Tennessee,73
Texas,62
Utah,75
Vermont,80
Virginia,73
Washington,69
West Virginia,77
Wisconsin,73
Wyoming,100
