geoName,crying
Alabama,94
Alaska,86
Arizona,89
Arkansas,88
California,92
Colorado,81
Connecticut,86
Delaware,86
District of Columbia,86
Florida,87
Georgia,83
Hawaii,92
Idaho,75
Illinois,87
Indiana,90
Iowa,88
Kansas,87
Kentucky,88
Louisiana,95
Maine,92
Maryland,95
Massachusetts,86
Michigan,86
Minnesota,78
Mississippi,90
Missouri,87
Montana,74
Nebraska,86
Nevada,89
New Hampshire,78
New Jersey,97
New Mexico,97
New York,93
North Carolina,84
North Dakota,87
Ohio,89
Oklahoma,80
Oregon,78
Pennsylvania,95
Rhode Island,97
South Carolina,82
South Dakota,83
Tennessee,89
Texas,95
Utah,76
Vermont,100
Virginia,92
Washington,82
West Virginia,95
Wisconsin,91
Wyoming,66
