geoName,crying
Alabama,87
Alaska,88
Arizona,90
Arkansas,88
California,91
Colorado,72
Connecticut,92
Delaware,83
District of Columbia,89
Florida,84
Georgia,86
Hawaii,89
Idaho,79
Illinois,85
Indiana,86
Iowa,78
Kansas,79
Kentucky,89
Louisiana,93
Maine,75
Maryland,87
Massachusetts,85
Michigan,90
Minnesota,75
Mississippi,94
Missouri,86
Montana,86
Nebraska,84
Nevada,100
New Hampshire,79
New Jersey,94
New Mexico,96
New York,91
North Carolina,85
North Dakota,77
Ohio,87
Oklahoma,90
Oregon,64
Pennsylvania,90
Rhode Island,96
South Carolina,87
South Dakota,86
Tennessee,88
Texas,93
Utah,77
Vermont,79
Virginia,78
Washington,85
West Virginia,95
Wisconsin,80
Wyoming,85
