date,crying,isPartial
2012-01-01,66,False
2012-01-08,63,False
2012-01-15,71,False
2012-01-22,68,False
2012-01-29,64,False
2012-02-05,66,False
2012-02-12,62,False
2012-02-19,61,False
2012-02-26,57,False
2012-03-04,58,False
2012-03-11,55,False
2012-03-18,58,False
2012-03-25,61,False
2012-04-01,60,False
2012-04-08,57,False
2012-04-15,62,False
2012-04-22,71,False
2012-04-29,66,False
2012-05-06,60,False
2012-05-13,58,False
2012-05-20,65,False
2012-05-27,60,False
2012-06-03,67,False
2012-06-10,64,False
2012-06-17,71,False
2012-06-24,61,False
2012-07-01,74,False
2012-07-08,65,False
2012-07-15,63,False
2012-07-22,64,False
2012-07-29,76,False
2012-08-05,70,False
2012-08-12,67,False
2012-08-19,69,False
2012-08-26,65,False
2012-09-02,72,False
2012-09-09,75,False
2012-09-16,64,False
2012-09-23,67,False
2012-09-30,71,False
2012-10-07,66,False
2012-10-14,65,False
2012-10-21,69,False
2012-10-28,82,False
2012-11-04,100,False
2012-11-11,76,False
2012-11-18,69,False
2012-11-25,66,False
2012-12-02,73,False
2012-12-09,85,False
2012-12-16,78,False
2012-12-23,72,False
2012-12-30,80,False
