date,crying,isPartial
2011-01-02,79,False
2011-01-09,77,False
2011-01-16,71,False
2011-01-23,71,False
2011-01-30,65,False
2011-02-06,69,False
2011-02-13,69,False
2011-02-20,71,False
2011-02-27,66,False
2011-03-06,84,False
2011-03-13,63,False
2011-03-20,68,False
2011-03-27,69,False
2011-04-03,69,False
2011-04-10,72,False
2011-04-17,63,False
2011-04-24,64,False
2011-05-01,66,False
2011-05-08,71,False
2011-05-15,68,False
2011-05-22,61,False
2011-05-29,69,False
2011-06-05,72,False
2011-06-12,100,False
2011-06-19,69,False
2011-06-26,70,False
2011-07-03,67,False
2011-07-10,70,False
2011-07-17,62,False
2011-07-24,71,False
2011-07-31,67,False
2011-08-07,64,False
2011-08-14,65,False
2011-08-21,61,False
2011-08-28,71,False
2011-09-04,67,False
2011-09-11,73,False
2011-09-18,68,False
2011-09-25,70,False
2011-10-02,74,False
2011-10-09,70,False
2011-10-16,67,False
2011-10-23,74,False
2011-10-30,69,False
2011-11-06,78,False
2011-11-13,74,False
2011-11-20,75,False
2011-11-27,72,False
2011-12-04,74,False
2011-12-11,72,False
2011-12-18,80,False
2011-12-25,74,False
