geoName,crying
Alabama,90
Alaska,71
Arizona,93
Arkansas,88
California,94
Colorado,79
Connecticut,85
Delaware,93
District of Columbia,90
Florida,80
Georgia,90
Hawaii,93
Idaho,71
Illinois,90
Indiana,88
Iowa,80
Kansas,84
Kentucky,96
Louisiana,92
Maine,86
Maryland,89
Massachusetts,87
Michigan,88
Minnesota,79
Mississippi,100
Missouri,80
Montana,77
Nebraska,84
Nevada,88
New Hampshire,83
New Jersey,90
New Mexico,84
New York,90
North Carolina,86
North Dakota,80
Ohio,89
Oklahoma,86
Oregon,75
Pennsylvania,90
Rhode Island,87
South Carolina,89
South Dakota,75
Tennessee,87
Texas,94
Utah,79
Vermont,73
Virginia,91
Washington,82
West Virginia,92
Wisconsin,83
Wyoming,81
