geoName,crying
Alabama,88
Alaska,89
Arizona,89
Arkansas,91
California,91
Colorado,82
Connecticut,84
Delaware,90
District of Columbia,82
Florida,89
Georgia,89
Hawaii,81
Idaho,80
Illinois,85
Indiana,91
Iowa,77
Kansas,82
Kentucky,100
Louisiana,96
Maine,89
Maryland,87
Massachusetts,84
Michigan,86
Minnesota,80
Mississippi,89
Missouri,93
Montana,73
Nebraska,94
Nevada,89
New Hampshire,91
New Jersey,96
New Mexico,84
New York,92
North Carolina,89
North Dakota,69
Ohio,92
Oklahoma,97
Oregon,57
Pennsylvania,89
Rhode Island,93
South Carolina,81
South Dakota,99
Tennessee,97
Texas,94
Utah,79
Vermont,69
Virginia,78
Washington,88
West Virginia,80
Wisconsin,76
Wyoming,73
