geoName,crying
Alabama,84
Alaska,73
Arizona,85
Arkansas,84
California,89
Colorado,80
Connecticut,83
Delaware,90
District of Columbia,77
Florida,81
Georgia,82
Hawaii,80
Idaho,71
Illinois,86
Indiana,82
Iowa,81
Kansas,85
Kentucky,100
Louisiana,94
Maine,77
Maryland,89
Massachusetts,87
Michigan,86
Minnesota,77
Mississippi,89
Missouri,85
Montana,59
Nebraska,82
Nevada,90
New Hampshire,70
New Jersey,88
New Mexico,81
New York,87
North Carolina,86
North Dakota,81
Ohio,84
Oklahoma,85
Oregon,60
Pennsylvania,88
Rhode Island,86
South Carolina,76
South Dakota,72
Tennessee,81
Texas,90
Utah,80
Vermont,76
Virginia,83
Washington,82
West Virginia,97
Wisconsin,82
Wyoming,71
