date,esteem,isPartial
2015-01-04,68,False
2015-01-11,73,False
2015-01-18,79,False
2015-01-25,83,False
2015-02-01,81,False
2015-02-08,100,False
2015-02-15,83,False
2015-02-22,96,False
2015-03-01,78,False
2015-03-08,90,False
2015-03-15,80,False
2015-03-22,94,False
2015-03-29,74,False
2015-04-05,75,False
2015-04-12,82,False
2015-04-19,91,False
2015-04-26,92,False
2015-05-03,86,False
2015-05-10,80,False
2015-05-17,75,False
2015-05-24,69,False
2015-05-31,63,False
2015-06-07,69,False
2015-06-14,63,False
2015-06-21,62,False
2015-06-28,62,False
2015-07-05,60,False
2015-07-12,71,False
2015-07-19,59,False
2015-07-26,56,False
2015-08-02,60,False
2015-08-09,69,False
2015-08-16,62,False
2015-08-23,70,False
2015-08-30,87,False
2015-09-06,78,False
2015-09-13,93,False
2015-09-20,92,False
2015-09-27,91,False
2015-10-04,88,False
2015-10-11,81,False
2015-10-18,88,False
2015-10-25,86,False
2015-11-01,83,False
2015-11-08,90,False
2015-11-15,86,False
2015-11-22,63,False
2015-11-29,85,False
2015-12-06,88,False
2015-12-13,73,False
2015-12-20,47,False
2015-12-27,48,False
