geoName,esteem
Alabama,42
Alaska,30
Arizona,54
Arkansas,52
California,64
Colorado,45
Connecticut,49
Delaware,57
District of Columbia,42
Florida,100
Georgia,64
Hawaii,43
Idaho,55
Illinois,42
Indiana,54
Iowa,47
Kansas,38
Kentucky,48
Louisiana,43
Maine,58
Maryland,48
Massachusetts,51
Michigan,89
Minnesota,45
Mississippi,57
Missouri,41
Montana,47
Nebraska,45
Nevada,64
New Hampshire,49
New Jersey,62
New Mexico,54
New York,56
North Carolina,46
North Dakota,38
Ohio,45
Oklahoma,45
Oregon,50
Pennsylvania,54
Rhode Island,51
South Carolina,53
South Dakota,58
Tennessee,48
Texas,57
Utah,55
Vermont,37
Virginia,54
Washington,46
West Virginia,54
Wisconsin,39
Wyoming,28
