geoName,esteem
Alabama,78
Alaska,35
Arizona,73
Arkansas,97
California,74
Colorado,57
Connecticut,77
Delaware,77
District of Columbia,60
Florida,69
Georgia,72
Hawaii,80
Idaho,69
Illinois,71
Indiana,84
Iowa,75
Kansas,65
Kentucky,85
Louisiana,77
Maine,63
Maryland,90
Massachusetts,72
Michigan,71
Minnesota,68
Mississippi,75
Missouri,83
Montana,60
Nebraska,94
Nevada,78
New Hampshire,75
New Jersey,81
New Mexico,100
New York,72
North Carolina,72
North Dakota,56
Ohio,70
Oklahoma,63
Oregon,57
Pennsylvania,77
Rhode Island,63
South Carolina,72
South Dakota,76
Tennessee,68
Texas,70
Utah,86
Vermont,84
Virginia,57
Washington,66
West Virginia,62
Wisconsin,68
Wyoming,70
