geoName,esteem
Alabama,64
Alaska,48
Arizona,69
Arkansas,71
California,76
Colorado,55
Connecticut,63
Delaware,80
District of Columbia,50
Florida,97
Georgia,68
Hawaii,60
Idaho,100
Illinois,61
Indiana,57
Iowa,56
Kansas,54
Kentucky,58
Louisiana,64
Maine,70
Maryland,58
Massachusetts,58
Michigan,76
Minnesota,56
Mississippi,80
Missouri,65
Montana,63
Nebraska,79
Nevada,70
New Hampshire,62
New Jersey,65
New Mexico,72
New York,65
North Carolina,62
North Dakota,45
Ohio,62
Oklahoma,65
Oregon,53
Pennsylvania,65
Rhode Island,76
South Carolina,67
South Dakota,60
Tennessee,60
Texas,58
Utah,79
Vermont,51
Virginia,58
Washington,51
West Virginia,76
Wisconsin,54
Wyoming,49
