geoName,esteem
Alabama,71
Alaska,58
Arizona,79
Arkansas,67
California,82
Colorado,62
Connecticut,67
Delaware,73
District of Columbia,60
Florida,77
Georgia,66
Hawaii,90
Idaho,90
Illinois,72
Indiana,78
Iowa,82
Kansas,60
Kentucky,68
Louisiana,80
Maine,77
Maryland,84
Massachusetts,69
Michigan,82
Minnesota,72
Mississippi,79
Missouri,77
Montana,86
Nebraska,74
Nevada,77
New Hampshire,63
New Jersey,86
New Mexico,71
New York,78
North Carolina,81
North Dakota,67
Ohio,71
Oklahoma,65
Oregon,48
Pennsylvania,75
Rhode Island,75
South Carolina,75
South Dakota,89
Tennessee,66
Texas,69
Utah,100
Vermont,74
Virginia,66
Washington,64
West Virginia,63
Wisconsin,67
Wyoming,73
