geoName,esteem
Alabama,95
Alaska,67
Arizona,79
Arkansas,91
California,93
Colorado,69
Connecticut,93
Delaware,84
District of Columbia,73
Florida,100
Georgia,83
Hawaii,93
Idaho,79
Illinois,78
Indiana,79
Iowa,81
Kansas,84
Kentucky,79
Louisiana,78
Maine,86
Maryland,86
Massachusetts,74
Michigan,100
Minnesota,77
Mississippi,95
Missouri,74
Montana,84
Nebraska,86
Nevada,78
New Hampshire,70
New Jersey,92
New Mexico,77
New York,86
North Carolina,83
North Dakota,86
Ohio,79
Oklahoma,77
Oregon,52
Pennsylvania,86
Rhode Island,83
South Carolina,93
South Dakota,67
Tennessee,81
Texas,86
Utah,84
Vermont,67
Virginia,90
Washington,74
West Virginia,79
Wisconsin,71
Wyoming,89
