date,esteem,isPartial
2014-01-05,78,False
2014-01-12,86,False
2014-01-19,83,False
2014-01-26,90,False
2014-02-02,90,False
2014-02-09,89,False
2014-02-16,96,False
2014-02-23,95,False
2014-03-02,87,False
2014-03-09,87,False
2014-03-16,87,False
2014-03-23,86,False
2014-03-30,91,False
2014-04-06,92,False
2014-04-13,82,False
2014-04-20,92,False
2014-04-27,99,False
2014-05-04,88,False
2014-05-11,89,False
2014-05-18,79,False
2014-05-25,66,False
2014-06-01,68,False
2014-06-08,82,False
2014-06-15,68,False
2014-06-22,72,False
2014-06-29,64,False
2014-07-06,67,False
2014-07-13,65,False
2014-07-20,67,False
2014-07-27,65,False
2014-08-03,65,False
2014-08-10,68,False
2014-08-17,64,False
2014-08-24,72,False
2014-08-31,77,False
2014-09-07,94,False
2014-09-14,89,False
2014-09-21,90,False
2014-09-28,91,False
2014-10-05,100,False
2014-10-12,80,False
2014-10-19,95,False
2014-10-26,88,False
2014-11-02,87,False
2014-11-09,88,False
2014-11-16,76,False
2014-11-23,63,False
2014-11-30,86,False
2014-12-07,88,False
2014-12-14,72,False
2014-12-21,57,False
2014-12-28,53,False
