geoName,empty
Alabama,66
Alaska,69
Arizona,74
Arkansas,74
California,82
Colorado,78
Connecticut,76
Delaware,79
District of Columbia,63
Florida,66
Georgia,65
Hawaii,72
Idaho,84
Illinois,87
Indiana,77
Iowa,74
Kansas,62
Kentucky,66
Louisiana,59
Maine,78
Maryland,82
Massachusetts,83
Michigan,71
Minnesota,78
Mississippi,70
Missouri,73
Montana,78
Nebraska,77
Nevada,62
New Hampshire,81
New Jersey,81
New Mexico,65
New York,75
North Carolina,71
North Dakota,71
Ohio,73
Oklahoma,63
Oregon,53
Pennsylvania,79
Rhode Island,82
South Carolina,66
South Dakota,66
Tennessee,75
Texas,71
Utah,100
Vermont,85
Virginia,64
Washington,87
West Virginia,78
Wisconsin,77
Wyoming,75
