geoName,empty
Alabama,78
Alaska,64
Arizona,78
Arkansas,78
California,88
Colorado,81
Connecticut,84
Delaware,86
District of Columbia,76
Florida,70
Georgia,69
Hawaii,73
Idaho,100
Illinois,92
Indiana,85
Iowa,79
Kansas,77
Kentucky,81
Louisiana,66
Maine,90
Maryland,87
Massachusetts,86
Michigan,78
Minnesota,83
Mississippi,61
Missouri,75
Montana,88
Nebraska,92
Nevada,75
New Hampshire,85
New Jersey,81
New Mexico,77
New York,81
North Carolina,76
North Dakota,72
Ohio,83
Oklahoma,74
Oregon,64
Pennsylvania,84
Rhode Island,84
South Carolina,84
South Dakota,81
Tennessee,76
Texas,73
Utah,93
Vermont,88
Virginia,83
Washington,90
West Virginia,86
Wisconsin,82
Wyoming,65
