date,empty,isPartial
2012-01-01,68,False
2012-01-08,70,False
2012-01-15,73,False
2012-01-22,76,False
2012-01-29,69,False
2012-02-05,74,False
2012-02-12,74,False
2012-02-19,74,False
2012-02-26,75,False
2012-03-04,72,False
2012-03-11,73,False
2012-03-18,76,False
2012-03-25,71,False
2012-04-01,81,False
2012-04-08,80,False
2012-04-15,72,False
2012-04-22,73,False
2012-04-29,76,False
2012-05-06,71,False
2012-05-13,69,False
2012-05-20,68,False
2012-05-27,69,False
2012-06-03,74,False
2012-06-10,68,False
2012-06-17,74,False
2012-06-24,73,False
2012-07-01,66,False
2012-07-08,74,False
2012-07-15,71,False
2012-07-22,69,False
2012-07-29,81,False
2012-08-05,68,False
2012-08-12,71,False
2012-08-19,78,False
2012-08-26,86,False
2012-09-02,100,False
2012-09-09,88,False
2012-09-16,83,False
2012-09-23,75,False
2012-09-30,77,False
2012-10-07,76,False
2012-10-14,77,False
2012-10-21,74,False
2012-10-28,79,False
2012-11-04,74,False
2012-11-11,76,False
2012-11-18,66,False
2012-11-25,72,False
2012-12-02,71,False
2012-12-09,75,False
2012-12-16,66,False
2012-12-23,64,False
2012-12-30,72,False
