geoName,empty
Alabama,76
Alaska,70
Arizona,73
Arkansas,81
California,82
Colorado,76
Connecticut,77
Delaware,70
District of Columbia,60
Florida,68
Georgia,65
Hawaii,67
Idaho,78
Illinois,82
Indiana,92
Iowa,77
Kansas,79
Kentucky,75
Louisiana,68
Maine,87
Maryland,82
Massachusetts,78
Michigan,77
Minnesota,76
Mississippi,64
Missouri,69
Montana,77
Nebraska,68
Nevada,70
New Hampshire,92
New Jersey,80
New Mexico,79
New York,75
North Carolina,72
North Dakota,69
Ohio,82
Oklahoma,76
Oregon,82
Pennsylvania,80
Rhode Island,77
South Carolina,75
South Dakota,76
Tennessee,77
Texas,69
Utah,100
Vermont,84
Virginia,83
Washington,81
West Virginia,79
Wisconsin,84
Wyoming,83
