geoName,empty
Alabama,74
Alaska,73
Arizona,87
Arkansas,81
California,93
Colorado,87
Connecticut,85
Delaware,80
District of Columbia,74
Florida,71
Georgia,79
Hawaii,80
Idaho,87
Illinois,94
Indiana,84
Iowa,86
Kansas,78
Kentucky,75
Louisiana,70
Maine,89
Maryland,89
Massachusetts,100
Michigan,84
Minnesota,93
Mississippi,69
Missouri,78
Montana,83
Nebraska,86
Nevada,69
New Hampshire,95
New Jersey,85
New Mexico,79
New York,83
North Carolina,80
North Dakota,74
Ohio,82
Oklahoma,81
Oregon,89
Pennsylvania,86
Rhode Island,95
South Carolina,71
South Dakota,80
Tennessee,78
Texas,75
Utah,90
Vermont,93
Virginia,97
Washington,93
West Virginia,84
Wisconsin,91
Wyoming,68
