geoName,empty
Alabama,71
Alaska,51
Arizona,73
Arkansas,78
California,82
Colorado,75
Connecticut,80
Delaware,76
District of Columbia,67
Florida,72
Georgia,69
Hawaii,67
Idaho,88
Illinois,96
Indiana,85
Iowa,61
Kansas,80
Kentucky,77
Louisiana,70
Maine,82
Maryland,74
Massachusetts,83
Michigan,79
Minnesota,75
Mississippi,64
Missouri,72
Montana,82
Nebraska,70
Nevada,76
New Hampshire,90
New Jersey,79
New Mexico,76
New York,74
North Carolina,69
North Dakota,82
Ohio,79
Oklahoma,68
Oregon,86
Pennsylvania,82
Rhode Island,80
South Carolina,67
South Dakota,78
Tennessee,79
Texas,68
Utah,100
Vermont,87
Virginia,86
Washington,80
West Virginia,85
Wisconsin,86
Wyoming,71
