date,empty,isPartial
2014-01-05,94,False
2014-01-12,93,False
2014-01-19,100,False
2014-01-26,97,False
2014-02-02,90,False
2014-02-09,91,False
2014-02-16,87,False
2014-02-23,93,False
2014-03-02,91,False
2014-03-09,95,False
2014-03-16,89,False
2014-03-23,90,False
2014-03-30,87,False
2014-04-06,90,False
2014-04-13,95,False
2014-04-20,100,False
2014-04-27,94,False
2014-05-04,89,False
2014-05-11,90,False
2014-05-18,91,False
2014-05-25,89,False
2014-06-01,91,False
2014-06-08,88,False
2014-06-15,88,False
2014-06-22,85,False
2014-06-29,84,False
2014-07-06,92,False
2014-07-13,88,False
2014-07-20,87,False
2014-07-27,89,False
2014-08-03,89,False
2014-08-10,90,False
2014-08-17,88,False
2014-08-24,90,False
2014-08-31,90,False
2014-09-07,91,False
2014-09-14,93,False
2014-09-21,94,False
2014-09-28,95,False
2014-10-05,98,False
2014-10-12,94,False
2014-10-19,95,False
2014-10-26,94,False
2014-11-02,94,False
2014-11-09,92,False
2014-11-16,96,False
2014-11-23,79,False
2014-11-30,91,False
2014-12-07,90,False
2014-12-14,87,False
2014-12-21,72,False
2014-12-28,80,False
