date,empty,isPartial
2011-01-02,85,False
2011-01-09,83,False
2011-01-16,86,False
2011-01-23,79,False
2011-01-30,94,False
2011-02-06,90,False
2011-02-13,95,False
2011-02-20,94,False
2011-02-27,96,False
2011-03-06,90,False
2011-03-13,88,False
2011-03-20,92,False
2011-03-27,89,False
2011-04-03,89,False
2011-04-10,93,False
2011-04-17,100,False
2011-04-24,98,False
2011-05-01,99,False
2011-05-08,92,False
2011-05-15,88,False
2011-05-22,92,False
2011-05-29,87,False
2011-06-05,98,False
2011-06-12,96,False
2011-06-19,87,False
2011-06-26,90,False
2011-07-03,90,False
2011-07-10,88,False
2011-07-17,91,False
2011-07-24,87,False
2011-07-31,84,False
2011-08-07,84,False
2011-08-14,88,False
2011-08-21,87,False
2011-08-28,90,False
2011-09-04,89,False
2011-09-11,94,False
2011-09-18,90,False
2011-09-25,90,False
2011-10-02,86,False
2011-10-09,95,False
2011-10-16,92,False
2011-10-23,93,False
2011-10-30,95,False
2011-11-06,86,False
2011-11-13,88,False
2011-11-20,84,False
2011-11-27,93,False
2011-12-04,84,False
2011-12-11,91,False
2011-12-18,81,False
2011-12-25,77,False
