geoName,empty
Alabama,77
Alaska,73
Arizona,83
Arkansas,77
California,91
Colorado,86
Connecticut,84
Delaware,81
District of Columbia,71
Florida,75
Georgia,70
Hawaii,77
Idaho,85
Illinois,88
Indiana,83
Iowa,83
Kansas,63
Kentucky,71
Louisiana,62
Maine,81
Maryland,84
Massachusetts,99
Michigan,79
Minnesota,85
Mississippi,67
Missouri,77
Montana,77
Nebraska,79
Nevada,73
New Hampshire,99
New Jersey,84
New Mexico,67
New York,80
North Carolina,75
North Dakota,63
Ohio,84
Oklahoma,69
Oregon,66
Pennsylvania,84
Rhode Island,83
South Carolina,70
South Dakota,72
Tennessee,73
Texas,74
Utah,91
Vermont,100
Virginia,58
Washington,95
West Virginia,87
Wisconsin,83
Wyoming,65
