geoName,improvement
Alabama,62
Alaska,74
Arizona,67
Arkansas,75
California,47
Colorado,59
Connecticut,66
Delaware,72
District of Columbia,97
Florida,52
Georgia,60
Hawaii,56
Idaho,59
Illinois,52
Indiana,68
Iowa,67
Kansas,64
Kentucky,61
Louisiana,54
Maine,51
Maryland,90
Massachusetts,64
Michigan,70
Minnesota,66
Mississippi,50
Missouri,65
Montana,67
Nebraska,78
Nevada,43
New Hampshire,67
New Jersey,63
New Mexico,68
New York,59
North Carolina,100
North Dakota,75
Ohio,70
Oklahoma,52
Oregon,41
Pennsylvania,66
Rhode Island,60
South Carolina,78
South Dakota,74
Tennessee,63
Texas,55
Utah,76
Vermont,57
Virginia,84
Washington,50
West Virginia,52
Wisconsin,67
Wyoming,65
