geoName,improvement
Alabama,35
Alaska,34
Arizona,36
Arkansas,37
California,30
Colorado,35
Connecticut,44
Delaware,42
District of Columbia,48
Florida,35
Georgia,38
Hawaii,27
Idaho,34
Illinois,35
Indiana,42
Iowa,39
Kansas,39
Kentucky,43
Louisiana,38
Maine,33
Maryland,55
Massachusetts,40
Michigan,45
Minnesota,40
Mississippi,36
Missouri,41
Montana,36
Nebraska,41
Nevada,26
New Hampshire,34
New Jersey,39
New Mexico,47
New York,42
North Carolina,100
North Dakota,42
Ohio,40
Oklahoma,33
Oregon,52
Pennsylvania,39
Rhode Island,32
South Carolina,49
South Dakota,28
Tennessee,41
Texas,35
Utah,43
Vermont,32
Virginia,53
Washington,31
West Virginia,41
Wisconsin,40
Wyoming,34
